Crop,Irrigation,N,P,K,pH,Notes
Arecanut,Subsurface Textile Irrigation,135.4,44.2,143.4,5.52,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Furrow Irrigation,116.5,72.8,114.6,5.85,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Micro Irrigation,89.1,73.5,82.4,5.23,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Surface Irrigation,105.7,60.4,128.1,6.31,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Flood Irrigation,136.8,65.4,100.4,6.3,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Center-pivot Irrigation,99.2,50.8,124.2,6.41,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Micro Irrigation,106.0,58.0,138.4,5.73,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Center-pivot Irrigation,112.1,47.2,138.6,6.13,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Micro Irrigation,87.9,69.3,102.7,6.14,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Sprinkler Irrigation,106.4,44.7,123.0,5.28,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Subsurface Textile Irrigation,104.4,62.3,150.1,5.76,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Lateral Move Irrigation,122.8,73.1,152.9,5.2,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Micro Irrigation,95.5,70.0,155.2,5.23,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Center-pivot Irrigation,80.9,49.3,99.0,5.95,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Center-pivot Irrigation,132.1,68.6,87.8,6.18,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Surface Irrigation,102.2,70.2,123.6,5.4,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Subsurface Textile Irrigation,124.6,41.9,97.3,5.12,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Furrow Irrigation,106.7,58.9,139.1,5.7,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Flood Irrigation,137.4,78.3,90.4,5.81,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Subsurface Textile Irrigation,113.0,79.5,137.6,5.99,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Furrow Irrigation,101.6,78.7,156.7,5.05,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Lateral Move Irrigation,109.4,57.3,129.1,6.1,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Drip Irrigation,104.1,60.5,86.3,5.25,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Rotary Irrigation,82.7,59.1,135.0,5.29,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Center-pivot Irrigation,136.8,49.5,155.7,5.52,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Surface Irrigation,100.1,44.9,137.8,5.92,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Subsurface Textile Irrigation,99.2,48.5,115.4,5.15,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Rotary Irrigation,112.2,50.3,131.8,5.05,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Drip Irrigation,92.8,74.6,84.5,6.42,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Lateral Move Irrigation,86.5,70.0,129.3,6.44,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Micro Irrigation,86.7,73.4,137.6,5.48,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Micro Irrigation,86.0,77.1,135.1,6.07,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Furrow Irrigation,101.7,78.1,108.6,5.95,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Sprinkler Irrigation,128.3,45.2,121.5,5.06,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Lateral Move Irrigation,104.8,47.1,144.7,5.15,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Furrow Irrigation,119.2,71.9,95.4,5.71,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Drip Irrigation,115.5,71.5,106.4,6.17,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Drip Irrigation,107.1,47.7,80.7,6.1,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Furrow Irrigation,100.8,44.7,87.9,6.34,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Sprinkler Irrigation,132.9,63.4,92.7,5.43,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Lateral Move Irrigation,138.8,44.6,141.7,5.67,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Flood Irrigation,130.6,52.0,84.0,5.48,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Micro Irrigation,117.5,60.6,94.6,6.48,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Center-pivot Irrigation,94.1,49.6,145.8,5.66,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Sprinkler Irrigation,116.9,61.6,89.0,6.44,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Rotary Irrigation,98.6,77.5,84.7,5.06,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Subsurface Textile Irrigation,115.1,65.7,121.2,6.49,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Lateral Move Irrigation,132.9,69.0,127.4,5.4,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Subsurface Textile Irrigation,126.3,41.7,125.7,5.73,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Lateral Move Irrigation,113.2,56.6,94.8,5.08,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Sprinkler Irrigation,109.4,72.9,114.1,6.23,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Drip Irrigation,121.0,51.6,149.2,5.03,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Furrow Irrigation,122.8,47.8,88.6,6.44,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Center-pivot Irrigation,123.4,60.1,84.5,5.12,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Center-pivot Irrigation,107.2,73.9,115.5,5.73,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Flood Irrigation,133.3,73.8,108.5,5.74,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Sprinkler Irrigation,135.4,53.1,144.2,5.16,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Rotary Irrigation,126.1,56.5,96.2,6.36,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Surface Irrigation,136.9,50.9,121.5,5.98,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Surface Irrigation,116.6,60.0,143.8,5.25,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Rotary Irrigation,120.1,55.1,130.6,5.91,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Flood Irrigation,81.4,49.4,116.9,5.38,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Drip Irrigation,112.4,47.2,121.6,5.79,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Rotary Irrigation,95.9,69.5,107.6,6.46,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Subsurface Textile Irrigation,127.9,70.0,121.7,5.12,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Flood Irrigation,133.9,43.5,115.5,5.5,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Surface Irrigation,112.4,66.4,125.1,6.34,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Furrow Irrigation,129.2,66.8,139.3,5.35,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Furrow Irrigation,96.1,74.6,103.8,5.69,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Flood Irrigation,101.6,68.5,105.4,6.36,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Sprinkler Irrigation,126.6,64.6,129.5,6.01,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Flood Irrigation,114.1,47.5,86.4,5.6,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Drip Irrigation,103.3,40.4,141.0,6.19,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Micro Irrigation,119.8,76.9,150.9,5.94,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Furrow Irrigation,136.0,65.5,99.0,5.47,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Drip Irrigation,122.0,55.0,152.0,6.06,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Rotary Irrigation,106.1,47.6,125.9,5.45,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Sprinkler Irrigation,131.6,48.5,92.6,5.3,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Subsurface Textile Irrigation,113.4,62.7,86.8,5.24,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Micro Irrigation,133.0,48.2,110.8,5.2,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Micro Irrigation,119.5,50.5,88.4,6.07,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Micro Irrigation,104.8,63.2,159.1,5.01,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Center-pivot Irrigation,137.7,50.5,136.6,5.2,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Sprinkler Irrigation,114.5,60.8,118.1,5.47,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Surface Irrigation,104.6,74.8,132.5,5.7,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Flood Irrigation,94.0,48.6,130.6,6.01,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Rotary Irrigation,137.5,43.3,104.5,5.02,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Surface Irrigation,85.8,59.1,96.8,6.07,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Micro Irrigation,91.1,73.3,82.1,5.3,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Lateral Move Irrigation,102.3,42.6,137.8,5.36,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Bajra,Center-pivot Irrigation,64.7,23.5,26.7,6.75,Fertilizer plan for Bajra; adjust based on soil test and crop stage.
Bajra,Furrow Irrigation,45.2,31.2,23.6,6.71,Fertilizer plan for Bajra; adjust based on soil test and crop stage.
Bajra,Furrow Irrigation,56.6,28.0,31.4,7.04,Fertilizer plan for Bajra; adjust based on soil test and crop stage.
Bajra,Flood Irrigation,59.6,20.4,47.6,6.47,Fertilizer plan for Bajra; adjust based on soil test and crop stage.
Bajra,Drip Irrigation,65.4,21.3,21.8,6.45,Fertilizer plan for Bajra; adjust based on soil test and crop stage.
Bajra,Subsurface Textile Irrigation,62.1,20.9,33.4,6.38,Fertilizer plan for Bajra; adjust based on soil test and crop stage.
Bajra,Sprinkler Irrigation,54.5,24.5,52.2,7.06,Fertilizer plan for Bajra; adjust based on soil test and crop stage.
Bajra,Center-pivot Irrigation,71.7,32.3,28.0,6.43,Fertilizer plan for Bajra; adjust based on soil test and crop stage.
Bajra,Furrow Irrigation,71.9,29.1,52.2,6.21,Fertilizer plan for Bajra; adjust based on soil test and crop stage.
Bajra,Surface Irrigation,85.3,22.2,31.5,6.55,Fertilizer plan for Bajra; adjust based on soil test and crop stage.
Bajra,Sprinkler Irrigation,76.6,22.6,52.6,6.4,Fertilizer plan for Bajra; adjust based on soil test and crop stage.
Bajra,Drip Irrigation,89.9,35.5,32.5,7.07,Fertilizer plan for Bajra; adjust based on soil test and crop stage.
Bajra,Rotary Irrigation,66.6,32.2,45.4,7.12,Fertilizer plan for Bajra; adjust based on soil test and crop stage.
Bajra,Flood Irrigation,82.9,27.7,36.1,6.85,Fertilizer plan for Bajra; adjust based on soil test and crop stage.
Bajra,Flood Irrigation,64.2,35.0,51.8,6.06,Fertilizer plan for Bajra; adjust based on soil test and crop stage.
Bajra,Rotary Irrigation,77.3,20.8,51.3,7.21,Fertilizer plan for Bajra; adjust based on soil test and crop stage.
Bajra,Drip Irrigation,76.2,22.3,51.0,7.34,Fertilizer plan for Bajra; adjust based on soil test and crop stage.
Bajra,Lateral Move Irrigation,75.7,23.2,38.0,7.38,Fertilizer plan for Bajra; adjust based on soil test and crop stage.
Bajra,Surface Irrigation,69.8,39.7,42.9,7.1,Fertilizer plan for Bajra; adjust based on soil test and crop stage.
Bajra,Lateral Move Irrigation,78.0,23.9,49.8,6.2,Fertilizer plan for Bajra; adjust based on soil test and crop stage.
Bajra,Center-pivot Irrigation,88.9,23.5,24.9,6.66,Fertilizer plan for Bajra; adjust based on soil test and crop stage.
Bajra,Surface Irrigation,84.1,38.8,38.1,6.15,Fertilizer plan for Bajra; adjust based on soil test and crop stage.
Bajra,Rotary Irrigation,41.2,23.4,49.4,6.96,Fertilizer plan for Bajra; adjust based on soil test and crop stage.
Bajra,Drip Irrigation,78.0,36.1,27.0,7.06,Fertilizer plan for Bajra; adjust based on soil test and crop stage.
Bajra,Rotary Irrigation,55.4,33.0,24.1,6.45,Fertilizer plan for Bajra; adjust based on soil test and crop stage.
Bajra,Rotary Irrigation,52.0,38.1,38.2,7.32,Fertilizer plan for Bajra; adjust based on soil test and crop stage.
Bajra,Micro Irrigation,55.4,26.1,43.4,7.45,Fertilizer plan for Bajra; adjust based on soil test and crop stage.
Bajra,Surface Irrigation,76.8,20.6,36.5,6.26,Fertilizer plan for Bajra; adjust based on soil test and crop stage.
Bajra,Furrow Irrigation,78.2,38.5,55.1,6.95,Fertilizer plan for Bajra; adjust based on soil test and crop stage.
Bajra,Rotary Irrigation,44.2,37.1,44.2,6.83,Fertilizer plan for Bajra; adjust based on soil test and crop stage.
